         20636979 function calls (20628057 primitive calls) in 9.734 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.005    0.005 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\secrets.py:1(<module>)
       39    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       45    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 D:\git\performance-rrt\core\python_impl\rrt_star_numpy_opt.py:80(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       32    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       42    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\enum.py:1556(__and__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       17    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\getlimits.py:721(max)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\functools.py:35(update_wrapper)
       21    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       20    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_compiler.py:243(_optimize_charset)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       17    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\_virtualenv.py:50(find_spec)
       17    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.021    0.021 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\__init__.py:339(__getattr__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       25    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 D:\git\performance-rrt\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:459(__call__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
     17/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      4/3    0.000    0.000    0.020    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\hashlib.py:82(__get_builtin_constructor)
        8    0.000    0.000    0.000    0.000 C:\Users\jungh\AppData\Roaming\uv\python\cpython-3.12.8-windows-x86_64-none\Lib\re\_parser.py:168(__getitem__)
